9.161000000000000254e-01,1.711100000000000065e+00,5.984100000000000641e+00
8.605000000000000426e-01,1.174700000000000077e+00,4.421699999999999520e+00
9.823000000000000620e-01,1.777700000000000058e+00,3.980999999999999539e-01
1.331100000000000172e+00,1.598899999999999988e+00,2.871300000000000185e+00
7.555000000000000604e-01,1.676100000000000145e+00,3.111000000000000432e-01
1.604500000000000037e+00,2.327000000000000179e-01,4.455000000000000626e-01
3.825000000000000067e-01,7.537000000000000366e-01,6.899999999999999883e-03
3.146999999999999797e-01,1.024700000000000166e+00,3.541500000000000092e+00
9.965000000000000524e-01,1.529500000000000082e+00,2.090700000000000003e+00
1.949000000000000177e-01,1.906300000000000106e+00,9.750000000000000333e-02
1.757000000000000228e-01,9.257000000000000783e-01,3.431099999999999817e+00
1.357500000000000151e+00,1.751900000000000013e+00,2.838900000000000201e+00
6.677000000000000712e-01,6.522999999999999909e-01,5.339700000000000557e+00
1.912900000000000045e+00,1.721500000000000030e+00,2.610300000000000509e+00
1.018900000000000139e+00,1.285100000000000131e+00,4.899300000000000210e+00
4.403000000000000247e-01,7.141000000000000680e-01,3.378300000000000303e+00
1.206500000000000128e+00,1.793500000000000094e+00,5.670900000000000496e+00
5.903000000000000469e-01,6.110000000000000153e-02,4.514100000000000890e+00
6.759000000000000563e-01,1.984300000000000175e+00,1.523100000000000120e+00
1.815300000000000136e+00,1.332699999999999996e+00,4.325699999999999434e+00
4.629000000000000337e-01,4.711000000000000187e-01,5.458500000000000796e+00
1.650900000000000034e+00,5.461000000000000298e-01,4.065900000000000958e+00
1.831100000000000172e+00,1.112900000000000000e+00,2.213099999999999845e+00
3.438999999999999835e-01,9.103000000000001091e-01,1.362300000000000288e+00
1.860700000000000021e+00,1.815900000000000070e+00,5.422500000000000320e+00
8.469999999999999751e-02,2.453000000000000180e-01,2.992500000000000160e+00
9.911000000000000920e-01,4.349999999999999700e-02,2.421000000000000374e-01
1.285900000000000043e+00,5.705000000000000071e-01,3.405899999999999928e+00
5.688999999999999613e-01,1.979500000000000037e+00,4.308900000000000396e+00
1.748999999999999999e-01,5.107000000000000428e-01,5.613900000000001000e+00
1.636300000000000088e+00,1.110100000000000087e+00,3.791700000000000070e+00
1.784700000000000175e+00,3.299999999999999982e-03,4.905300000000000438e+00
1.639100000000000001e+00,3.339000000000000301e-01,1.133100000000000218e+00
1.010999999999999954e-01,2.964999999999999858e-01,3.391500000000000181e+00
1.708700000000000108e+00,1.957300000000000040e+00,3.344100000000000072e+00
7.091000000000000636e-01,1.218900000000000095e+00,4.076100000000000279e+00
7.645000000000000684e-01,1.100500000000000034e+00,5.112900000000000666e+00
2.904999999999999805e-01,1.805700000000000083e+00,2.403300000000000214e+00
1.812699999999999978e+00,1.410500000000000087e+00,3.920999999999999486e-01
6.539000000000000368e-01,9.001000000000000112e-01,5.129700000000000593e+00
1.832699999999999996e+00,4.689000000000000390e-01,5.123699999999999477e+00
2.779000000000000359e-01,1.124700000000000033e+00,5.052300000000000679e+00
