3	4	3	4	135.62	132.43	-25.3
3	4	3	4	110.17	66.13	-135.62
1	2	1	2	-442.05	-6.98	-235.62
1	2	1	2	-388.04	-6.98	-236.96
1	2	1	2	-481.06	18.37	-177.49
1	2	1	2	-447.77	68.84	-176.59
1	2	1	2	-477.96	40.39	-177.49
1	2	1	2	-392.51	68.84	-176.06
1	2	1	2	-358.88	49.37	-178.62
1	2	1	2	-350.63	27.02	-178.14
3	4	3	4	-196.03	79.97	84.42
3	4	3	4	-215.86	79.97	8.11
3	4	3	4	-30.36	81.74	49.24
3	4	3	4	24.35	96.5	29.68
3	4	3	4	92.28	118.66	-1.68
3	4	3	4	67.99	58.22	-114.5
3	4	3	4	9.1	50.21	-91.65
3	4	3	4	-124.95	42.73	-66.99
3	4	3	4	-85.09	79.97	85.82
3	4	3	4	-209.04	42.67	-52.89
1	3	1	3	-335.39	85.17	-21.68
1	3	1	3	-426.43	85.17	-49.23
1	3	1	3	-507.12	85.17	-71.04
1	3	1	3	-330.27	70.09	-58.37
1	3	1	3	-510.16	74.4	-116.13
1	3	1	3	-323.9	28.17	-114.09
1	3	1	3	-508.65	35.46	-134.92
