kcc_id,kcc_name,stage_id,station_id,kcc_type,kcc_nominal,kcc_max,kcc_min,Description
0,pv1_1,0,0,0,0,2,-2,Global part variation pattern
1,pv1_2,0,0,0,0,2,-2,Local Part variation pattern
2,pv2_1,0,0,0,0,2,-2,Global part variation pattern
3,pv2_2,0,0,0,0,2,-2,Local Part variation pattern
4,pinhole2_x,1,0,1,0,2,-2,Pin hole displacement in x
5,pinhole2_y,1,0,1,0,2,-2,Pin hole displacement in y
6,pinhole2_rot,1,0,1,0,1,-1,Rotation around Pin-hole
7,clamp_x_1,2,0,1,0,2,-2,clamp x deviation
8,clamp_y_1,2,0,1,0,2,-2,clamp y deviation
9,clamp_z_1,2,0,1,0,2,-2,clamp z deviation
10,clamp_x_2,2,0,1,0,2,-2,clamp x deviation
11,clamp_y_2,2,0,1,0,2,-2,clamp y deviation
12,clamp_z_2,2,0,1,0,2,-2,clamp z deviation
13,clamp_x_3,2,0,1,0,2,-2,clamp x deviation
14,clamp_y_3,2,0,1,0,2,-2,clamp y deviation
15,clamp_z_3,2,0,1,0,2,-2,clamp z deviation
16,tooling_x_1,3,0,2,0,2,-2,tooling x deviation
17,tooling_y_1,3,0,2,0,2,-2,tooling y deviation
18,tooling_z_1,3,0,2,0,2,-2,tooling z deviation
19,tooling_x_2,3,0,2,0,2,-2,tooling x deviation
20,tooling_y_2,3,0,2,0,2,-2,tooling y deviation
21,tooling_z_2,3,0,2,0,2,-2,tooling z deviation
22,tooling_x_3,3,0,2,0,2,-2,tooling x deviation
23,tooling_y_3,3,0,2,0,2,-2,tooling y deviation
24,tooling_z_3,3,0,2,0,2,-2,tooling z deviation
25,tooling_x_4,3,0,2,0,2,-2,tooling x deviation
26,tooling_y_4,3,0,2,0,2,-2,tooling y deviation
27,tooling_z_4,3,0,2,0,2,-2,tooling z deviation
28,tooling_x_5,3,0,2,0,2,-2,tooling x deviation
29,tooling_y_5,3,0,2,0,2,-2,tooling y deviation
30,tooling_z_5,3,0,2,0,2,-2,tooling z deviation
31,tooling_x_6,3,0,2,0,2,-2,tooling x deviation
32,tooling_y_6,3,0,2,0,2,-2,tooling y deviation
33,tooling_z_6,3,0,2,0,2,-2,tooling z deviation
34,tooling_x_7,3,0,2,0,2,-2,tooling x deviation
35,tooling_y_7,3,0,2,0,2,-2,tooling y deviation
36,tooling_z_7,3,0,2,0,2,-2,tooling z deviation
37,tooling_x_8,3,0,2,0,2,-2,tooling x deviation
38,tooling_y_8,3,0,2,0,2,-2,tooling y deviation
39,tooling_z_8,3,0,2,0,2,-2,tooling z deviation
40,tooling_flag_1,3,0,2,0,1,0,Joining Flag
41,tooling_flag_2,3,0,2,0,1,0,Joining Flag
42,tooling_flag_3,3,0,2,0,1,0,Joining Flag
43,tooling_flag_4,3,0,2,0,1,0,Joining Flag
44,tooling_flag_5,3,0,2,0,1,0,Joining Flag
45,tooling_flag_6,3,0,2,0,1,0,Joining Flag
46,tooling_flag_7,3,0,2,0,1,0,Joining Flag
47,tooling_flag_8,3,0,2,0,1,0,Joining Flag
48,pv3_1,0,1,0,0,2,-2,Global part variation pattern
49,pv3_2,0,1,0,0,2,-2,Local Part variation pattern
50,pv4_1,0,1,0,0,2,-2,Global part variation pattern
51,pv4_2,0,1,0,0,2,-2,Local Part variation pattern
52,pinhole4_x,1,1,1,0,2,-2,Pin hole displacement in x
53,pinhole4_y,1,1,1,0,2,-2,Pin hole displacement in y
54,pinhole4_rot,1,1,1,0,1,-1,Rotation around Pin-hole
55,clamp_x_4,2,1,1,0,2,-2,clamp x deviation
56,clamp_y_4,2,1,1,0,2,-2,clamp y deviation
57,clamp_z_4,2,1,1,0,2,-2,clamp z deviation
58,clamp_x_5,2,1,1,0,2,-2,clamp x deviation
59,clamp_y_5,2,1,1,0,2,-2,clamp y deviation
60,clamp_z_5,2,1,1,0,2,-2,clamp z deviation
61,clamp_x_6,2,1,1,0,2,-2,clamp x deviation
62,clamp_y_6,2,1,1,0,2,-2,clamp y deviation
63,clamp_z_6,2,1,1,0,2,-2,clamp z deviation
64,clamp_x_7,2,1,1,0,2,-2,tooling x deviation
65,clamp_y_7,2,1,1,0,2,-2,tooling y deviation
66,clamp_z_7,2,1,1,0,2,-2,tooling z deviation
67,clamp_x_8,2,1,1,0,2,-2,tooling x deviation
68,clamp_y_8,2,1,1,0,2,-2,tooling y deviation
69,clamp_z_8,2,1,1,0,2,-2,tooling z deviation
70,clamp_x_9,2,1,1,0,2,-2,tooling x deviation
71,clamp_y_9,2,1,1,0,2,-2,tooling y deviation
72,clamp_z_9,2,1,1,0,2,-2,tooling z deviation
73,tooling_x_9,3,1,2,0,2,-2,tooling x deviation
74,tooling_y_9,3,1,2,0,2,-2,tooling y deviation
75,tooling_z_9,3,1,2,0,2,-2,tooling z deviation
76,tooling_x_10,3,1,2,0,2,-2,tooling x deviation
77,tooling_y_10,3,1,2,0,2,-2,tooling y deviation
78,tooling_z_10,3,1,2,0,2,-2,tooling z deviation
79,tooling_x_11,3,1,2,0,2,-2,tooling x deviation
80,tooling_y_11,3,1,2,0,2,-2,tooling y deviation
81,tooling_z_11,3,1,2,0,2,-2,tooling z deviation
82,tooling_x_12,3,1,2,0,2,-2,tooling x deviation
83,tooling_y_12,3,1,2,0,2,-2,tooling y deviation
84,tooling_z_12,3,1,2,0,2,-2,tooling z deviation
85,tooling_x_13,3,1,2,0,2,-2,tooling x deviation
86,tooling_y_13,3,1,2,0,2,-2,tooling y deviation
87,tooling_z_13,3,1,2,0,2,-2,tooling z deviation
88,tooling_x_14,3,1,2,0,2,-2,tooling x deviation
89,tooling_y_14,3,1,2,0,2,-2,tooling y deviation
90,tooling_z_14,3,1,2,0,2,-2,tooling z deviation
91,tooling_x_15,3,1,2,0,2,-2,tooling x deviation
92,tooling_y_15,3,1,2,0,2,-2,tooling y deviation
93,tooling_z_15,3,1,2,0,2,-2,tooling z deviation
94,tooling_x_16,3,1,2,0,2,-2,tooling x deviation
95,tooling_y_16,3,1,2,0,2,-2,tooling y deviation
96,tooling_z_16,3,1,2,0,2,-2,tooling z deviation
97,tooling_x_17,3,1,2,0,2,-2,tooling x deviation
98,tooling_y_17,3,1,2,0,2,-2,tooling y deviation
99,tooling_z_17,3,1,2,0,2,-2,tooling z deviation
100,tooling_x_18,3,1,2,0,2,-2,tooling x deviation
101,tooling_y_18,3,1,2,0,2,-2,tooling y deviation
102,tooling_z_18,3,1,2,0,2,-2,tooling z deviation
103,tooling_flag_9,3,1,2,0,1,0,Joining Flag
104,tooling_flag_10,3,1,2,0,1,0,Joining Flag
105,tooling_flag_11,3,1,2,0,1,0,Joining Flag
106,tooling_flag_12,3,1,2,0,1,0,Joining Flag
107,tooling_flag_13,3,1,2,0,1,0,Joining Flag
108,tooling_flag_14,3,1,2,0,1,0,Joining Flag
109,tooling_flag_15,3,1,2,0,1,0,Joining Flag
110,tooling_flag_16,3,1,2,0,1,0,Joining Flag
111,tooling_flag_17,3,1,2,0,1,0,Joining Flag
112,tooling_flag_18,3,1,2,0,1,0,Joining Flag
113,pinhole3_x,1,2,1,0,2,-2,Pin hole displacement in x
114,pinhole3_y,1,2,1,0,2,-2,Pin hole displacement in y
115,pinhole3_rot,1,2,1,0,1,-1,Rotation around Pin-hole
116,clamp_x_10,2,2,1,0,2,-2,clamp x deviation
117,clamp_y_10,2,2,1,0,2,-2,clamp y deviation
118,clamp_z_10,2,2,1,0,2,-2,clamp z deviation
119,clamp_x_11,2,2,1,0,2,-2,clamp x deviation
120,clamp_y_11,2,2,1,0,2,-2,clamp y deviation
121,clamp_z_11,2,2,1,0,2,-2,clamp z deviation
122,clamp_x_12,2,2,1,0,2,-2,clamp x deviation
123,clamp_y_12,2,2,1,0,2,-2,clamp y deviation
124,clamp_z_12,2,2,1,0,2,-2,clamp z deviation
125,clamp_x_13,2,2,1,0,2,-2,clamp x deviation
126,clamp_y_13,2,2,1,0,2,-2,clamp y deviation
127,clamp_z_13,2,2,1,0,2,-2,clamp z deviation
128,tooling_x_19,3,2,2,0,2,-2,tooling x deviation
129,tooling_y_19,3,2,2,0,2,-2,tooling y deviation
130,tooling_z_19,3,2,2,0,2,-2,tooling z deviation
131,tooling_x_20,3,2,2,0,2,-2,tooling x deviation
132,tooling_y_20,3,2,2,0,2,-2,tooling y deviation
133,tooling_z_20,3,2,2,0,2,-2,tooling z deviation
134,tooling_x_21,3,2,2,0,2,-2,tooling x deviation
135,tooling_y_21,3,2,2,0,2,-2,tooling y deviation
136,tooling_z_21,3,2,2,0,2,-2,tooling z deviation
137,tooling_x_22,3,2,2,0,2,-2,tooling x deviation
138,tooling_y_22,3,2,2,0,2,-2,tooling y deviation
139,tooling_z_22,3,2,2,0,2,-2,tooling z deviation
140,tooling_x_23,3,2,2,0,2,-2,tooling x deviation
141,tooling_y_23,3,2,2,0,2,-2,tooling y deviation
142,tooling_z_23,3,2,2,0,2,-2,tooling z deviation
143,tooling_x_24,3,2,2,0,2,-2,tooling x deviation
144,tooling_y_24,3,2,2,0,2,-2,tooling y deviation
145,tooling_z_24,3,2,2,0,2,-2,tooling z deviation
146,tooling_x_25,3,2,2,0,2,-2,tooling x deviation
147,tooling_y_25,3,2,2,0,2,-2,tooling y deviation
148,tooling_z_25,3,2,2,0,2,-2,tooling z deviation
149,tooling_flag_19,3,2,2,0,1,0,Joining Flag
150,tooling_flag_20,3,2,2,0,1,0,Joining Flag
151,tooling_flag_21,3,2,2,0,1,0,Joining Flag
152,tooling_flag_22,3,2,2,0,1,0,Joining Flag
153,tooling_flag_23,3,2,2,0,1,0,Joining Flag
154,tooling_flag_24,3,2,2,0,1,0,Joining Flag
155,tooling_flag_25,3,2,2,0,1,0,Joining Flag
